classificacao,nome_robo,pontuacao_final,sobrevivencia,bonus_ultima_sobrevivencia,dano_disparo,bonus_disparo_morte,colisao_dano,bonus_colisao_morte,1lugar,2lugar,3lugar
1,sample.Walls,1223,750,150,305,13,5,0,1,0,0
1,sample.SpinBot,1027,700,0,305,20,2,0,0,1,0
1,sample.Fire,795,600,0,184,11,0,0,0,0,0
1,sample.Crazy,779,650,0,104,8,17,0,0,0,1
1,sample.RamFire,709,500,0,166,6,37,0,0,0,0
2,sample.PaintingRobot,635,550,0,83,1,1,0,0,0,0
2,sample.Tracker,586,350,0,208,26,2,0,0,0,0
2,sample.MyFirstJuniorRobot,535,450,0,82,0,4,0,0,0,0
2,sample.Corners,423,200,0,200,22,1,0,0,0,0
2,sample.Interactive_v2,400,400,0,0,0,0,0,0,0,0
3,sample.TrackFire,340,150,0,163,26,0,0,0,0,0
3,sample.Interactive,300,300,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,298,250,0,44,0,4,0,0,0,0
3,sample.VelociRobot,128,50,0,24,0,54,0,0,0,0
3,sample.Target,100,100,0,0,0,0,0,0,0,0
3,sample.SittingDuck,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1254,750,150,314,37,4,0,1,0,0
1,sample.TrackFire,1067,650,0,378,39,0,0,0,0,1
1,sample.SpinBot,1048,700,0,306,30,12,0,0,1,0
1,sample.Tracker,976,550,0,373,52,1,0,0,0,0
1,sample.PaintingRobot,676,600,0,72,0,4,0,0,0,0
2,sample.Crazy,619,500,0,108,0,11,0,0,0,0
2,sample.VelociRobot,537,400,0,82,6,49,0,0,0,0
2,sample.Corners,492,350,0,130,12,0,0,0,0,0
2,sample.SittingDuck,450,450,0,0,0,0,0,0,0,0
2,sample.Interactive,300,300,0,0,0,0,0,0,0,0
3,sample.Target,250,250,0,0,0,0,0,0,0,0
3,sample.Fire,226,150,0,76,0,0,0,0,0,0
3,sample.MyFirstRobot,224,200,0,24,0,0,0,0,0,0
3,sample.Interactive_v2,100,100,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,90,50,0,36,0,4,0,0,0,0
3,sample.RamFire,56,0,0,48,0,8,0,0,0,0
1,sample.Walls,1285,750,150,342,37,6,0,1,0,0
1,sample.TrackFire,924,600,0,294,30,0,0,0,0,0
1,sample.SpinBot,883,650,0,202,27,5,0,0,0,1
1,sample.Fire,849,700,0,140,7,1,0,0,1,0
1,sample.RamFire,648,350,0,240,0,58,0,0,0,0
2,sample.PaintingRobot,639,550,0,88,0,1,0,0,0,0
2,sample.Crazy,598,500,0,85,3,10,0,0,0,0
2,sample.Corners,544,400,0,144,0,0,0,0,0,0
2,sample.Interactive,450,450,0,0,0,0,0,0,0,0
